"receiver_id","purchasing_organisation","project_operatedby","installation_name","station_name","receiver_deployment_id","deployment_date","deployment_longitude","deployment_latitude","recovery_date","recovery_longitude","recovery_latitude","receiver_status"
"VR2W-132738","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Reef/Offshore Array Queensland","Moore Reef",140523711,2020-09-28 14:00:00,146.230942,-16.844979,NA,NA,NA,"NEW"
"VR2W-102559","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Reef/Offshore Array Queensland","Sudbury Reef",140523713,2020-09-28 14:00:00,146.221389,-17.021944,NA,NA,NA,"NEW"
"VR2W-136068","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Pelorus Island MMP",140523699,2020-09-21 04:42:00,146.48855,-18.540583,NA,NA,NA,"NEW"
"VR2W-136062","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Pandora Reef MMP",140523697,2020-09-21 02:10:00,146.434567,-18.8168,NA,NA,NA,"NEW"
"VR2W-136061","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Bucasia SCP",140523701,2020-09-20 00:21:00,149.184317,-21.031633,NA,NA,NA,"NEW"
"VR2W-136071","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Slade Point SCP",140523703,2020-09-19 23:59:00,149.232317,-21.07045,NA,NA,NA,"NEW"
"VR2W-111071","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB7",139675579,2020-09-17 01:58:52,150.69445,-35.08076667,NA,NA,NA,NA
"VR2W-125789","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB14",139675577,2020-09-17 01:10:41,150.695533333333,-35.1022666666667,NA,NA,NA,NA
"VR2W-101069","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","IMOS-ATF / SARDI Moorings South Australia","SAMUSG",139941803,2020-09-16 06:00:00,137.708639,-33.11083,NA,NA,NA,"NEW"
"VR2Tx-484036","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 1",139675835,2020-09-16 03:54:00,147.96736,-42.66801,NA,NA,NA,"NEW"
"VR2Tx-484037","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 2",139675837,2020-09-16 03:22:00,147.97668,-42.66657,NA,NA,NA,"NEW"
"VR2Tx-484028","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 3",139675839,2020-09-16 02:53:00,147.986,-42.66513,NA,NA,NA,"NEW"
"VR2Tx-484034","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 5",139675843,2020-09-16 02:20:00,148.00462,-42.66225,NA,NA,NA,"NEW"
"VR2Tx-484045","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 4",139675841,2020-09-16 01:55:00,147.99531,-42.66369,NA,NA,NA,"NEW"
"VR4-UWM-250401","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 1",139665226,2020-09-14 12:19:00,151.28831,-33.89567,NA,NA,NA,NA
"VR4-UWM-250389","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 2",139665243,2020-09-14 12:09:00,151.2959,-33.89854,NA,NA,NA,NA
"VR4-UWM-250395","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 6",139665263,2020-09-14 11:59:00,151.32516,-33.91592,NA,NA,NA,NA
"VR4-UWM-250374","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 3",139665245,2020-09-14 11:42:00,151.30269,-33.90283,NA,NA,NA,"NEW"
"VR4-UWM-250386","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 4",139665251,2020-09-14 11:27:00,151.30984,-33.90709,NA,NA,NA,NA
"VR4-UWM-250381","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 5",139665257,2020-09-14 11:12:00,151.31754,-33.91154,NA,NA,NA,"NEW"
"VR4-UWM-250371","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 7",139665269,2020-09-14 10:39:00,151.3322,-33.92014,NA,NA,NA,"NEW"
"VR2W-136079","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Fitzroy Island",140523709,2020-08-16 14:00:00,145.994758,-16.922871,NA,NA,NA,"NEW"
"VR2Tx-484598","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Townsville Strand SCP",140523693,2020-08-14 21:56:00,146.805083,-19.2334,NA,NA,NA,"NEW"
"VR2W-136060","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Magnetic Island SCP",140523695,2020-08-14 20:55:00,146.85945,-19.105917,NA,NA,NA,"NEW"
"VR2AR-548847","IMOS-ATF","IMOS-ATF Seal Rocks Line","IMOS-ATF Seal Rocks Line","SRL1",139645743,2020-08-14 10:39:00,152.54575,-32.45272,NA,NA,NA,"NEW"
"VR2AR-548848","IMOS-ATF","IMOS-ATF Seal Rocks Line","IMOS-ATF Seal Rocks Line","SRL2",139645745,2020-08-14 10:35:00,152.54906,-32.45758,NA,NA,NA,"NEW"
"VR2AR-548849","IMOS-ATF","IMOS-ATF Seal Rocks Line","IMOS-ATF Seal Rocks Line","SRL3",139645747,2020-08-14 10:28:00,152.55772,-32.46843,NA,NA,NA,"NEW"
"VR2AR-548850","IMOS-ATF","IMOS-ATF Seal Rocks Line","IMOS-ATF Seal Rocks Line","SRL4",139645749,2020-08-14 10:22:00,152.56323,-32.47427,NA,NA,NA,"NEW"
"VR2AR-548851","IMOS-ATF","IMOS-ATF Seal Rocks Line","IMOS-ATF Seal Rocks Line","SRL5",139646306,2020-08-14 10:12:00,152.56854,-32.48012,NA,NA,NA,"NEW"
"VR2Tx-484595","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Ellis Beach SCP",140523705,2020-08-13 14:00:00,145.65265,-16.722117,NA,NA,NA,"NEW"
"VR2W-136078","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Holloways Beach SCP",140523707,2020-08-13 14:00:00,145.748933,-16.832683,NA,NA,NA,"NEW"
"VR2W-101069","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","IMOS-ATF / SARDI Moorings South Australia","SAMUSG",139941797,2020-07-24 01:05:00,137.708639,-33.11083,2020-09-15 05:05:00,137.708639,-33.11083,"NEW"
"VR4-UWM-250387","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 3",139603020,2020-07-23 10:21:00,153.18991,-30.21282,NA,NA,NA,NA
"VR4-UWM-250373","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 11",139603046,2020-07-23 09:36:00,153.25758,-30.20514,NA,NA,NA,"NEW"
"VR4-UWM-250379","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 12",139603048,2020-07-23 09:10:00,153.27551,-30.20477,NA,NA,NA,NA
"VR4-UWM-250385","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 13",139603050,2020-07-23 08:41:00,153.28398,-30.20414,NA,NA,NA,NA
"VR4-UWM-250378","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 10",139603044,2020-07-22 15:29:00,153.24901,-30.20743,NA,NA,NA,NA
"VR4-UWM-250396","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 9",139603042,2020-07-22 15:09:00,153.24057,-30.20823,NA,NA,NA,NA
"VR4-UWM-250402","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 8",139603030,2020-07-22 14:41:00,153.2319,-30.20918,NA,NA,NA,"NEW"
"VR4-UWM-250403","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 7",139603028,2020-07-22 14:09:00,153.22331,-30.2099,NA,NA,NA,NA
"VR4-UWM-250391","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 6",139603026,2020-07-22 13:42:00,153.21504,-30.2107,NA,NA,NA,"NEW"
"VR4-UWM-250376","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 5",139603024,2020-07-22 13:17:00,153.20683,-30.21158,NA,NA,NA,"NEW"
"VR4-UWM-250400","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 4",139603022,2020-07-22 12:57:00,153.19852,-30.2121,NA,NA,NA,"NEW"
"VR4-UWM-250584","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 2",139603014,2020-07-22 11:56:00,153.18124,-30.21355,NA,NA,NA,"NEW"
"VR4-UWM-250380","IMOS-ATF","IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","CHS 1",139603012,2020-07-22 11:37:00,153.17462,-30.21115,NA,NA,NA,"NEW"
"VR2W-136077","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Russell Island (Franklands West) MMP",139602851,2020-07-20 01:40:00,146.09,17.226,NA,NA,NA,"NEW"
"VR2W-136076","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","North Barnard Island MMP",139602849,2020-07-18 01:40:00,146.174,17.671,NA,NA,NA,"NEW"
"VR2W-114578","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","South Pages Island",139647579,2020-07-16 03:30:00,138.29102,-35.77424,2020-07-17 03:30:00,138.29102,-35.77424,"DEPLOYED"
"VR2W-103306","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","North Pages Island",139664337,2020-07-16 00:50:00,138.30229,-35.75664,2020-07-17 00:50:00,138.30229,-35.75664,"DEPLOYED"
